ts_utc,slug,question,yes_token_id,no_token_id,yes_best_bid,yes_best_ask,yes_mid,yes_spread,yes_last_price,yes_last_size,yes_last_side,no_best_bid,no_best_ask,no_mid,no_spread,no_last_price,no_last_size,no_last_side,btc_price,btc_ts_utc,seconds_to_expiry,sum_mid,mid_deviation_from_1,secs_since_last_btc_update,secs_since_last_market_msg,secs_since_last_yes_quote_update,secs_since_last_yes_trade_update,secs_since_last_no_quote_update,secs_since_last_no_trade_update
2026-03-27T05:13:59.867+00:00,btc-updown-5m-1774588200,"Bitcoin Up or Down - March 27, 1:10AM-1:15AM ET",46347366005331157003558200438796502493451305067093854825078719487217551793968,72217184666964983746156745248810316341263535506680696133886509744430587223490,0.78,0.79,0.785,0.010000000000000009,0.9,273.67,SELL,0.21,0.22,0.215,0.010000000000000009,0.1,273.67,BUY,68719.34613769794,2026-03-27T05:13:59.729+00:00,60.13284969329834,1.0,0.0,0.14100000000325963,0.0,0.09399999998277053,0.0,0.09399999998277053,0.0
2026-03-27T05:14:00.070+00:00,btc-updown-5m-1774588200,"Bitcoin Up or Down - March 27, 1:10AM-1:15AM ET",46347366005331157003558200438796502493451305067093854825078719487217551793968,72217184666964983746156745248810316341263535506680696133886509744430587223490,0.78,0.79,0.785,0.010000000000000009,0.87,191.95,SELL,0.21,0.22,0.215,0.010000000000000009,0.13,191.95,BUY,68719.34613769794,2026-03-27T05:13:59.729+00:00,59.92947793006897,1.0,0.0,0.34400000001187436,0.0,0.0,0.0,0.0,0.0
2026-03-27T05:14:00.270+00:00,btc-updown-5m-1774588200,"Bitcoin Up or Down - March 27, 1:10AM-1:15AM ET",46347366005331157003558200438796502493451305067093854825078719487217551793968,72217184666964983746156745248810316341263535506680696133886509744430587223490,0.79,0.8,0.795,0.01,0.74,109.0,BUY,0.2,0.21,0.20500000000000002,0.01,0.26,109.0,SELL,68719.34613769794,2026-03-27T05:13:59.729+00:00,59.72919034957886,1.0,0.0,0.5470000000204891,0.0,0.031000000017229468,0.0,0.031000000017229468,0.0
2026-03-27T05:14:00.468+00:00,btc-updown-5m-1774588200,"Bitcoin Up or Down - March 27, 1:10AM-1:15AM ET",46347366005331157003558200438796502493451305067093854825078719487217551793968,72217184666964983746156745248810316341263535506680696133886509744430587223490,0.79,0.8,0.795,0.010000000000000009,0.82,180.91,SELL,0.2,0.21,0.20500000000000002,0.009999999999999981,0.18,180.91,BUY,68719.34613769794,2026-03-27T05:13:59.729+00:00,59.53162908554077,1.0,0.0,0.75,0.014999999984866008,0.046999999991385266,0.014999999984866008,0.046999999991385266,0.014999999984866008
2026-03-27T05:14:00.662+00:00,btc-updown-5m-1774588200,"Bitcoin Up or Down - March 27, 1:10AM-1:15AM ET",46347366005331157003558200438796502493451305067093854825078719487217551793968,72217184666964983746156745248810316341263535506680696133886509744430587223490,0.8,0.81,0.805,0.01,0.71,188.6,BUY,0.19,0.2,0.195,0.01,0.29,188.6,SELL,68719.34613769794,2026-03-27T05:13:59.729+00:00,59.33725070953369,1.0,0.0,0.9379999999946449,0.0,0.0629999999946449,0.0,0.0629999999946449,0.0
2026-03-27T05:14:00.869+00:00,btc-updown-5m-1774588200,"Bitcoin Up or Down - March 27, 1:10AM-1:15AM ET",46347366005331157003558200438796502493451305067093854825078719487217551793968,72217184666964983746156745248810316341263535506680696133886509744430587223490,0.8,0.81,0.805,0.01,0.7,54.4,BUY,0.19,0.2,0.195,0.01,0.3,54.4,SELL,68719.34613769794,2026-03-27T05:13:59.729+00:00,59.13092565536499,1.0,0.0,1.1410000000032596,0.0,0.26600000000325963,0.0,0.26600000000325963,0.0
2026-03-27T05:14:01.072+00:00,btc-updown-5m-1774588200,"Bitcoin Up or Down - March 27, 1:10AM-1:15AM ET",46347366005331157003558200438796502493451305067093854825078719487217551793968,72217184666964983746156745248810316341263535506680696133886509744430587223490,0.81,0.82,0.815,0.01,0.81,204.23,BUY,0.18,0.19,0.185,0.01,0.19,204.23,SELL,68719.40029413531,2026-03-27T05:14:00.926+00:00,58.92721486091614,1.0,0.0,0.14100000000325963,0.0,0.10899999999674037,0.0,0.10899999999674037,0.0
2026-03-27T05:14:01.273+00:00,btc-updown-5m-1774588200,"Bitcoin Up or Down - March 27, 1:10AM-1:15AM ET",46347366005331157003558200438796502493451305067093854825078719487217551793968,72217184666964983746156745248810316341263535506680696133886509744430587223490,0.82,0.83,0.825,0.010000000000000009,0.83,57.97,SELL,0.17,0.18,0.175,0.009999999999999981,0.17,57.97,BUY,68719.40029413531,2026-03-27T05:14:00.926+00:00,58.726173400878906,1.0,0.0,0.34400000001187436,0.0,0.062000000005355105,0.0,0.062000000005355105,0.0
2026-03-27T05:14:01.471+00:00,btc-updown-5m-1774588200,"Bitcoin Up or Down - March 27, 1:10AM-1:15AM ET",46347366005331157003558200438796502493451305067093854825078719487217551793968,72217184666964983746156745248810316341263535506680696133886509744430587223490,0.82,0.83,0.825,0.010000000000000009,0.94,1444.9,SELL,0.17,0.18,0.175,0.009999999999999981,0.06,1444.9,BUY,68719.40029413531,2026-03-27T05:14:00.926+00:00,58.52876281738281,1.0,0.0,0.5469999999913853,0.0,0.014999999984866008,0.0,0.014999999984866008,0.0
2026-03-27T05:14:01.666+00:00,btc-updown-5m-1774588200,"Bitcoin Up or Down - March 27, 1:10AM-1:15AM ET",46347366005331157003558200438796502493451305067093854825078719487217551793968,72217184666964983746156745248810316341263535506680696133886509744430587223490,0.82,0.83,0.825,0.010000000000000009,0.83,33.95,SELL,0.17,0.18,0.175,0.01,0.17,33.95,BUY,68719.39460688866,2026-03-27T05:14:01.524+00:00,58.3338189125061,1.0,0.0,0.1409999999741558,0.0,0.0,0.0,0.0,0.0
2026-03-27T05:14:01.872+00:00,btc-updown-5m-1774588200,"Bitcoin Up or Down - March 27, 1:10AM-1:15AM ET",46347366005331157003558200438796502493451305067093854825078719487217551793968,72217184666964983746156745248810316341263535506680696133886509744430587223490,0.83,0.84,0.835,0.01,0.83,53.22,BUY,0.16,0.17,0.165,0.01,0.17,53.22,SELL,68719.39460688866,2026-03-27T05:14:01.524+00:00,58.127453088760376,1.0,0.0,0.34399999998277053,0.0,0.0,0.0,0.0,0.0
2026-03-27T05:14:02.076+00:00,btc-updown-5m-1774588200,"Bitcoin Up or Down - March 27, 1:10AM-1:15AM ET",46347366005331157003558200438796502493451305067093854825078719487217551793968,72217184666964983746156745248810316341263535506680696133886509744430587223490,0.83,0.84,0.835,0.010000000000000009,0.89,263.52,SELL,0.16,0.17,0.165,0.010000000000000009,0.11,263.52,BUY,68719.39460688866,2026-03-27T05:14:01.524+00:00,57.923335790634155,1.0,0.0,0.5629999999946449,0.01600000000325963,0.03200000000651926,0.01600000000325963,0.03200000000651926,0.01600000000325963
2026-03-27T05:14:02.260+00:00,btc-updown-5m-1774588200,"Bitcoin Up or Down - March 27, 1:10AM-1:15AM ET",46347366005331157003558200438796502493451305067093854825078719487217551793968,72217184666964983746156745248810316341263535506680696133886509744430587223490,0.83,0.84,0.835,0.010000000000000009,0.88,82.0,SELL,0.16,0.17,0.165,0.010000000000000009,0.12,82.0,BUY,68719.39460688866,2026-03-27T05:14:01.524+00:00,57.73911786079407,1.0,0.0,0.7349999999860302,0.0,0.20399999999790452,0.0,0.20399999999790452,0.0
2026-03-27T05:14:02.473+00:00,btc-updown-5m-1774588200,"Bitcoin Up or Down - March 27, 1:10AM-1:15AM ET",46347366005331157003558200438796502493451305067093854825078719487217551793968,72217184666964983746156745248810316341263535506680696133886509744430587223490,0.84,0.85,0.845,0.010000000000000009,0.84,249.05,BUY,0.15,0.16,0.155,0.010000000000000009,0.16,249.05,SELL,68719.39460688866,2026-03-27T05:14:01.524+00:00,57.52642321586609,1.0,0.0,0.9529999999795109,0.0,0.014999999984866008,0.0,0.014999999984866008,0.0
2026-03-27T05:14:02.670+00:00,btc-updown-5m-1774588200,"Bitcoin Up or Down - March 27, 1:10AM-1:15AM ET",46347366005331157003558200438796502493451305067093854825078719487217551793968,72217184666964983746156745248810316341263535506680696133886509744430587223490,0.84,0.85,0.845,0.010000000000000009,0.84,342.55,BUY,0.15,0.16,0.155,0.01,0.16,342.55,SELL,68719.39460688866,2026-03-27T05:14:01.524+00:00,57.329326152801514,1.0,0.0,1.1559999999881256,0.0,0.0,0.015000000013969839,0.015000000013969839,0.015000000013969839
